DBN,School  Information                                                                                                         School Name,Location Type,"Total Guidance Counselors (GC) & Social Workers (SW)


(includes GCs, SWs, ATRs, School Response Clinicians, High Needs Counselors, High Need SWs, Single Shepherds, Bridging the Gap SWs)",Total GC,Total SW,Counts by Role Specificaiton           Full-time GC,Counts by Role Specification                       Full-Time SW,Count by Role Specification          Part-time GC,Count by Role Specification           Part-Time SW,Additional Role Specifications      Bilingual GC,Additional Role Specifications        Bilingual SW,Additional Role Specifications        GC Serving More than One Location,Additional Role Specifications        SW Serving More than One Location,Program Designations Included in Counts      Bridging the Gap,Program Designations Included in Counts        High Needs SW,Program Designations Included in Counts        High Needs GC,Program Designations Included in Counts        School Response Clinician,Program Designations Included in Counts               Single Shepherd,Additional Supports      Learning to Work,Additional Supports              CBO Partner,Enrollment and Ratios   2019-20 SY Enrollment,Enrollment and Ratios           Ratio GC & SW,Enrollment and Ratios                   Ratio GC Only,Enrollment and Ratios                     Ratio SW Only
01M015,P.S. 015 Roberto Clemente,ELEMENTARY,1.0,0,1,0,1,0,0,0,0,0,0,na,na,na,na,na,na,na,190,190,190,190
01M019,P.S. 019 Asher Levy,ELEMENTARY,2.0,1,1,1,1,0,0,0,0,0,0,na,na,na,na,na,na,na,236,118,236,236
01M020,P.S. 020 Anna Silver,ELEMENTARY,2.6,1.6,1,1,1,0.6,0,0,0,0.6,0,na,na,na,na,na,na,na,464,178,290,464
01M034,P.S. 034 Franklin D. Roosevelt,K-8,2.0,2,0,2,0,0,0,0,0,0,0,na,na,na,na,na,na,na,296,148,148,296
01M063,The STAR Academy - P.S.63,ELEMENTARY,2.0,1,1,1,1,0,0,0,1,0,0,na,na,na,na,na,na,na,229,115,229,229
01M064,P.S. 064 Robert Simon,ELEMENTARY,2.0,1,1,1,1,0,0,0,0,0,0,na,na,na,na,na,na,"The Educational Alliance, Inc.",236,118,236,236
01M110,P.S. 110 Florence Nightingale,ELEMENTARY,2.0,1,1,1,1,0,0,0,0,0,0,na,na,na,na,na,na,na,396,198,396,396
01M134,P.S. 134 Henrietta Szold,ELEMENTARY,2.0,1,1,1,1,0,0,0,1,0,0,na,na,na,na,na,na,na,245,123,245,245
01M140,P.S. 140 Nathan Straus,K-8,1.4,1.4,0,1,0,0.4,0,0,0,0.4,0,na,na,na,na,na,na,na,372,266,266,372
01M142,P.S. 142 Amalia Castro,ELEMENTARY,2.0,0,2,0,2,0,0,0,1,0,0,na,na,na,na,na,na,"The Educational Alliance, Inc.",329,165,329,165
01M184,P.S. 184m Shuang Wen,K-8,2.0,2,0,2,0,0,0,0,0,0,0,na,na,na,na,na,na,na,707,354,354,707
01M188,P.S. 188 The Island School,K-8,3.0,2,1,2,1,0,0,0,0,0,0,na,na,na,na,na,na,na,398,133,199,398
01M292,Orchard Collegiate Academy,HIGH SCHOOL,In progress (interviewing),0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,"Counseling In Schools, Inc.",226,see note in column D,see note in column D,see note in column D
01M315,The East Village Community School,ELEMENTARY,1.4,1,0.4,1,0,0,0.4,0,0,0,0.4,na,na,na,na,na,na,na,330,236,330,330
01M332,University Neighborhood Middle School,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2.2,1,1.2,1,1,0,0.2,0,0,0,0.2,na,na,na,School Response Clinicians,na,na,na,218,99,218,182
01M361,The Children's Workshop School,ELEMENTARY,1.6,0,1.6,0,1,0,0.6,0,0,0,0.6,na,na,na,na,na,na,na,336,210,336,210
01M363,Neighborhood School,ELEMENTARY,2.0,1,1,1,1,0,0,0,0,0,0,na,na,na,na,na,na,na,306,153,306,306
01M364,Earth School,ELEMENTARY,1.0,1,0,1,0,0,0,0,0,0,0,na,na,na,na,na,na,na,344,344,344,344
