DBN,Location,Location Type,Total_GC&SW,Total GC,Total SW,Full Time GC,Full Time SW
01M015,P.S. 015 Roberto Clemente,Elementary,1.0,0.0,1.0,0.0,1.0
01M019,P.S. 019 Asher Levy,Elementary,2.0,1.0,1.0,1.0,1.0
01M020,P.S. 020 Anna Silver,Elementary,1.8,0.8,1.0,0.0,1.0
01M034,P.S. 034 Franklin D. Roosevelt,K-8,2.0,2.0,0.0,2.0,0.0
01M063,The STAR Academy - P.S.63,Elementary,2.0,1.0,1.0,1.0,1.0
01M064,P.S. 064 Robert Simon,Elementary,3.0,1.0,2.0,1.0,2.0
01M110,P.S. 110 Florence Nightingale,Elementary,2.0,1.0,1.0,1.0,1.0
01M134,P.S. 134 Henrietta Szold,Elementary,2.0,1.0,1.0,1.0,1.0
01M140,P.S. 140 Nathan Straus,K-8,1.2,1.2,0.0,1.0,0.0
01M142,P.S. 142 Amalia Castro,Elementary,2.0,0.0,2.0,0.0,2.0
01M184,P.S. 184m Shuang Wen,K-8,2.0,2.0,0.0,2.0,0.0
01M188,P.S. 188 The Island School,K-8,3.0,2.0,1.0,2.0,1.0
01M292,Orchard Collegiate Academy,High school,1.0,1.0,0.0,1.0,0.0
01M315,The East Village Community School,Elementary,1.4,1.0,0.4,1.0,0.0
01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,2.2,1.0,1.2,1.0,1.0
01M361,The Children's Workshop School,Elementary,1.6,0.0,1.6,0.0,1.0
01M363,Neighborhood School,Elementary,1.0,1.0,0.0,1.0,0.0
01M364,Earth School,Elementary,1.0,1.0,0.0,1.0,0.0
01M378,School for Global Leaders,Junior High-Intermediate-Middle,1.2,1.0,0.2,1.0,0.0
01M448,University Neighborhood High School,High school,2.0,2.0,0.0,2.0,0.0
01M450,East Side Community School,Secondary School,3.2,1.0,2.2,1.0,2.0
01M458,Forsyth Satellite Academy,High school,3.0,1.0,2.0,1.0,2.0
01M509,Marta Valle High School,High school,1.0,1.0,0.0,1.0,0.0
01M515,Lower East Side Preparatory High School,High school,4.0,3.0,1.0,3.0,1.0
01M539,"New Explorations into Science, Technology and Math",K-12 all grades,8.0,7.0,1.0,7.0,1.0
01M650,Cascades High School,High school,1.0,1.0,0.0,1.0,0.0
01M696,Bard High School Early College,High school,3.0,3.0,0.0,3.0,0.0
01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,1.2,1.0,0.2,1.0,0.0
02M001,P.S. 001 Alfred E. Smith,Elementary,1.0,0.0,1.0,0.0,1.0
02M002,P.S. 002 Meyer London,Elementary,1.0,1.0,0.0,1.0,0.0
02M003,P.S. 003 Charrette School,Elementary,2.0,1.0,1.0,1.0,1.0
02M006,P.S. 006 Lillie D. Blake,Elementary,2.0,1.0,1.0,1.0,1.0
02M011,P.S. 011 William T. Harris,Elementary,2.0,1.0,1.0,1.0,1.0
02M033,P.S. 033 Chelsea Prep,Elementary,2.0,1.0,1.0,1.0,1.0
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,2.0,0.0,2.0,0.0,2.0
02M041,P.S. 041 Greenwich Village,Elementary,3.6,2.4,1.2,2.0,1.0
02M042,P.S. 042 Benjamin Altman,Elementary,2.4,0.0,2.4,0.0,2.0
02M047,47 The American Sign Language and English Secondar,High school,2.0,1.0,1.0,1.0,1.0
02M051,P.S. 051 Elias Howe,Elementary,3.0,1.0,2.0,1.0,2.0
02M059,P.S. 059 Beekman Hill International,Elementary,2.0,1.0,1.0,1.0,1.0
02M077,P.S. 77 Lower Lab School,Elementary,2.0,1.0,1.0,1.0,1.0
02M089,P.S. 89,Elementary,2.0,1.0,1.0,1.0,1.0
02M104,J.H.S. 104 Simon Baruch,Junior High-Intermediate-Middle,4.0,3.0,1.0,3.0,1.0
02M111,P.S. 111 Adolph S. Ochs,Elementary,1.8,0.0,1.8,0.0,1.0
02M114,East Side Middle School,Junior High-Intermediate-Middle,1.0,1.0,0.0,1.0,0.0
02M116,P.S. 116 Mary Lindley Murray,Elementary,3.0,2.0,1.0,2.0,1.0
02M124,P.S. 124 Yung Wing,Elementary,1.0,0.0,1.0,0.0,1.0
02M126,P.S. 126 Jacob August Riis,K-8,3.0,1.0,2.0,1.0,2.0
02M130,P.S. 130 Hernando De Soto,Elementary,2.0,1.0,1.0,1.0,1.0
02M131,M.S. 131,Junior High-Intermediate-Middle,2.0,1.0,1.0,1.0,1.0
02M135,The Urban Assembly School for Emergency Management,High school,1.2,0.0,1.2,0.0,1.0
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High school,4.2,1.0,3.2,1.0,3.0
02M150,P.S. 150,Elementary,1.0,1.0,0.0,1.0,0.0
02M151,Yorkville Community School,Elementary,2.0,1.0,1.0,1.0,1.0
02M158,P.S. 158 Bayard Taylor,Elementary,1.0,0.0,1.0,0.0,1.0
02M167,J.H.S. 167 Robert F. Wagner,Junior High-Intermediate-Middle,5.0,4.0,1.0,4.0,1.0
02M177,Yorkville East Middle School,Junior High-Intermediate-Middle,5.0,2.0,3.0,2.0,3.0
02M183,P.S. 183 Robert L. Stevenson,Elementary,2.0,1.0,1.0,1.0,1.0
02M198,P.S. 198 Isador E. Ida Straus,Elementary,2.0,1.0,1.0,1.0,1.0
02M212,P.S. 212 Midtown West,Elementary,0.4,0.4,0.0,0.0,0.0
02M217,P.S./I.S. 217 Roosevelt Island,K-8,1.6,1.6,0.0,1.0,0.0
02M225,Ella Baker School,K-8,1.0,1.0,0.0,1.0,0.0
02M234,P.S. 234 Independence School,Elementary,2.0,0.0,2.0,0.0,2.0
02M255,M.S. 255 Salk School of Science,Junior High-Intermediate-Middle,2.0,1.0,1.0,1.0,1.0
02M260,The Clinton School,Secondary School,3.0,3.0,0.0,3.0,0.0
02M267,"East Side Elementary School, PS 267",Elementary,1.0,0.0,1.0,0.0,1.0
02M276,Battery Park City School,K-8,2.0,2.0,0.0,2.0,0.0
02M280,Manhattan Early College School for Advertising,High school,3.2,3.0,0.2,3.0,0.0
02M281,The River School,Elementary,0.6,0.6,0.0,0.0,0.0
02M282,Urban Assembly Maker Academy,High school,2.2,1.0,1.2,1.0,1.0
02M288,Food and Finance High School,High school,3.0,3.0,0.0,3.0,0.0
02M289,I.S. 289,Junior High-Intermediate-Middle,1.0,1.0,0.0,1.0,0.0
02M290,P.S. 290 Manhattan New School,Elementary,2.0,1.0,1.0,1.0,1.0
02M294,Essex Street Academy,High school,2.2,0.0,2.2,0.0,2.0
02M296,High School of Hospitality Management,High school,2.0,1.0,1.0,1.0,1.0
02M297,M.S. 297,Junior High-Intermediate-Middle,3.0,2.0,1.0,2.0,1.0
02M298,Pace High School,High school,3.0,2.0,1.0,2.0,1.0
02M300,"Urban Assembly School of Design and Construction,",High school,1.2,0.0,1.2,0.0,1.0
02M303,"Facing History School, The",High school,3.2,1.0,2.2,1.0,2.0
02M305,"Urban Assembly Academy of Government and Law, The",High school,1.2,0.0,1.2,0.0,1.0
02M308,Lower Manhattan Arts Academy,High school,1.0,1.0,0.0,1.0,0.0
02M312,New York City Lab Middle School for Collaborative,Junior High-Intermediate-Middle,2.6,2.0,0.6,2.0,0.0
02M313,"James Baldwin School, The: A School for Expedition",High school,3.0,1.0,2.0,1.0,2.0
02M316,"Urban Assembly School of Business for Young Women,",High school,1.0,1.0,0.0,1.0,0.0
02M340,Sixth Avenue Elementary School,Elementary,1.0,0.0,1.0,0.0,1.0
02M343,The Peck Slip School,Elementary,1.0,1.0,0.0,1.0,0.0
02M347,The 47 American Sign Language & English Lower Scho,K-8,1.0,0.0,1.0,0.0,1.0
02M374,Gramercy Arts High School,High school,2.0,2.0,0.0,2.0,0.0
02M376,NYC iSchool,High school,2.0,2.0,0.0,2.0,0.0
02M392,MANHATTAN BUSINESS ACADEMY,High school,2.0,2.0,0.0,2.0,0.0
02M393,Business Of Sports School,High school,3.2,1.0,2.2,1.0,2.0
02M394,Emma Lazarus High School,High school,2.4,2.0,0.4,2.0,0.0
02M397,Spruce Street School,K-8,3.0,1.0,2.0,1.0,2.0
02M399,The High School For Language And Diplomacy,High school,3.0,3.0,0.0,3.0,0.0
02M400,High School for Environmental Studies,High school,6.0,5.0,1.0,5.0,1.0
02M407,Institute for Collaborative Education,Secondary School,2.2,1.0,1.2,1.0,1.0
02M408,Professional Performing Arts High School,Secondary School,1.0,1.0,0.0,1.0,0.0
02M411,Baruch College Campus High School,High school,4.0,4.0,0.0,4.0,0.0
02M412,N.Y.C. Lab School for Collaborative Studies,High school,3.5,3.5,0.0,2.0,0.0
02M413,School of the Future High School,Secondary School,5.0,4.0,1.0,4.0,1.0
02M414,N.Y.C. Museum School,High school,1.0,1.0,0.0,1.0,0.0
02M416,Eleanor Roosevelt High School,High school,2.0,2.0,0.0,2.0,0.0
02M418,Millennium High School,High school,2.8,2.6,0.2,2.0,0.0
02M419,Landmark High School,High school,2.2,2.0,0.2,2.0,0.0
02M420,High School for Health Professions and Human Servi,High school,9.0,8.0,1.0,8.0,1.0
02M422,Quest to Learn,Secondary School,3.2,3.0,0.2,3.0,0.0
02M425,Leadership and Public Service High School,High school,2.0,2.0,0.0,2.0,0.0
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,High school,2.0,2.0,0.0,2.0,0.0
02M432,Murray Hill Academy,High school,4.0,1.0,3.0,1.0,3.0
02M437,Hudson High School of Learning Technologies,High school,4.0,2.0,2.0,2.0,2.0
02M438,International High School at Union Square,High school,5.2,2.0,3.2,2.0,3.0
02M439,Manhattan Village Academy,High school,1.0,1.0,0.0,1.0,0.0
02M442,"Ballet Tech, NYC Public School for Dance",K-8,1.0,1.0,0.0,1.0,0.0
02M449,Vanguard High School,High school,2.2,0.0,2.2,0.0,2.0
02M459,Manhattan International High School,High school,3.0,2.0,1.0,2.0,1.0
02M475,Stuyvesant High School,High school,16.0,15.0,1.0,15.0,1.0
02M489,High School of Economics and Finance,High school,3.0,3.0,0.0,3.0,0.0
02M500,Unity Center for Urban Technologies,High school,1.0,1.0,0.0,1.0,0.0
02M507,Urban Assembly Gateway School for Technology,High school,5.2,4.0,1.2,4.0,1.0
02M519,Talent Unlimited High School,High school,3.0,2.0,1.0,2.0,1.0
02M520,Murry Bergtraum High School for Business Careers,High school,2.0,1.0,1.0,1.0,1.0
02M527,P.S. 527 - East Side School for Social Action,Elementary,1.0,1.0,0.0,1.0,0.0
02M529,Jacqueline Kennedy Onassis High School,High school,1.8,1.8,0.0,1.0,0.0
02M531,Repertory Company High School for Theatre Arts,High school,3.0,2.0,1.0,2.0,1.0
02M533,Union Square Academy for Health Sciences,High school,3.0,3.0,0.0,3.0,0.0
02M534,Harvest Collegiate High School,High school,3.0,1.0,2.0,1.0,2.0
02M542,Manhattan Bridges High School,High school,3.2,3.0,0.2,3.0,0.0
02M543,New Design High School,High school,3.2,0.0,3.2,0.0,3.0
02M544,Independence High School,High school,2.0,1.0,1.0,1.0,1.0
02M545,High School for Dual Language and Asian Studies,High school,2.0,2.0,0.0,2.0,0.0
02M546,Academy for Software Engineering,High school,3.2,2.0,1.2,2.0,1.0
02M550,Liberty High School Academy for Newcomers,High school,4.0,3.0,1.0,3.0,1.0
02M551,Urban Assembly New York Harbor School,High school,3.0,2.0,1.0,2.0,1.0
02M560,High School M560 - City As School,High school,5.0,1.0,4.0,1.0,4.0
02M565,Urban Academy Laboratory High School,High school,1.0,1.0,0.0,1.0,0.0
02M570,Satellite Academy High School,High school,2.0,0.0,2.0,0.0,2.0
02M575,Manhattan Comprehensive Night and Day High School,High school,4.0,4.0,0.0,4.0,0.0
02M580,Richard R. Green High School of Teaching,High school,3.0,2.0,1.0,2.0,1.0
02M586,Harvey Milk High School,High school,2.0,1.0,1.0,1.0,1.0
02M600,The High School of Fashion Industries,High school,7.0,7.0,0.0,7.0,0.0
02M605,Humanities Preparatory Academy,High school,3.0,1.0,2.0,1.0,2.0
02M615,Chelsea Career and Technical Education High School,High school,3.0,2.0,1.0,2.0,1.0
02M630,Art and Design High School,High school,7.0,5.0,2.0,5.0,2.0
02M655,Life Sciences Secondary School,High school,3.0,3.0,0.0,3.0,0.0
02M896,Lower Manhattan Community Middle School,Junior High-Intermediate-Middle,1.0,1.0,0.0,1.0,0.0
02M933,City Knoll Middle School,Junior High-Intermediate-Middle,1.0,1.0,0.0,1.0,0.0
