ATS_CODE,BORO,BORONUM,LOC_CODE,SCHOOLNAME,SCH_TYPE,MANAGED_BY,GEO_DISTRI,ADMIN_DIST,ADDRESS,STATE_CODE,ZIP,PRINCIPAL,PRIN_PH,FAX,GRADES,City,fullAddress,gcode,latitude,longitude
15K001      ,K,2,K001,P.S. 001 THE BERGEN,Elementary,1,15,15,309 47 STREET,NY,11220,Jennifer Eusanio,718-567-7661,718-567-9771,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"309 47 STREET, NY, 11220","309 47th St, Brooklyn, NY 11220, USA",40.6486563,-74.0112375
17K002      ,K,2,K002,M.S. 002,Junior High-Intermediate-Middle,1,17,17,655 PARKSIDE AVENUE,NY,11226,ADRIENNE SPENCER,718-462-6992,718-284-7717,"06,07,08,SE",BROOKLYN,"655 PARKSIDE AVENUE, NY, 11226","655 Parkside Ave, Brooklyn, NY 11226, USA",40.6564304,-73.9513202
21K095      ,K,2,K095,P.S. 095 THE GRAVESEND,K-8,1,21,21,345 VAN SICKLEN STREET,NY,11223,Janet Ndzibah,718-449-5050,718-449-3047,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"345 VAN SICKLEN STREET, NY, 11223","345 Van Sicklen St, Brooklyn, NY 11223, USA",40.5958765,-73.9748302
21K096      ,K,2,K096,I.S. 096 SETH LOW,Junior High-Intermediate-Middle,1,21,21,99 AVENUE P,NY,11204,Denise Sandra Levinsky,718-236-1344,718-236-2397,"06,07,08,SE",BROOKLYN,"99 AVENUE P, NY, 11204","99 Avenue P, Brooklyn, NY 11204, USA",40.6079832,-73.9851608
21K097      ,K,2,K097,P.S. 97 THE HIGHLAWN,Elementary,1,21,21,1855 STILLWELL AVENUE,NY,11223,KRISTINE MUSTILLO,718-372-7393,718-372-3842,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1855 STILLWELL AVENUE, NY, 11223","1855 Stillwell Ave, Brooklyn, NY 11223, USA",40.6009739,-73.9856659
21K098      ,K,2,K098,I.S. 98 BAY ACADEMY,Junior High-Intermediate-Middle,1,21,21,1401 EMMONS AVENUE,NY,11235,MARIA TIMO,718-891-9005,718-891-3865,"06,07,08,SE",BROOKLYN,"1401 EMMONS AVENUE, NY, 11235","1401 Emmons Ave, Brooklyn, NY 11235, USA",40.5838219,-73.9542591
21K099      ,K,2,K099,P.S. 099 ISAAC ASIMOV,K-8,1,21,21,1120 EAST  10 STREET,NY,11230,GREGORY PIRRAGLIA,718-338-9201,718-951-0418,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"1120 EAST  10 STREET, NY, 11230","1120 E 10th St, Brooklyn, NY 11230, USA",40.6215239,-73.9658847
21K100      ,K,2,K100,P.S. 100 THE CONEY ISLAND SCHOOL,Elementary,1,21,21,2951 WEST  3 STREET,NY,11224,Katherine A. Moloney,718-266-9477,718-266-7112,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"2951 WEST  3 STREET, NY, 11224","2951 W 3rd St, Brooklyn, NY 11224, USA",40.5775446,-73.9708356
21K101      ,K,2,K101,P.S. 101 THE VERRAZANO,Elementary,1,21,21,2360 BENSON AVENUE,NY,11214,GREGG KORROL,718-372-0221,718-372-1873,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"2360 BENSON AVENUE, NY, 11214","2360 Benson Ave, Brooklyn, NY 11214, USA",40.5975833,-73.99204759999999
20K102      ,K,2,K102,P.S. 102 THE BAYVIEW,Elementary,1,20,20,211 72 STREET,NY,11209,Ms. Theresa Dovi,718-748-7404,718-836-9265,"0K,01,02,03,04,05,SE",BROOKLYN,"211 72 STREET, NY, 11209","211 72nd St, Brooklyn, NY 11209, USA",40.634563,-74.0290168
13K103      ,K,2,K103,SATELLITE THREE,Junior High-Intermediate-Middle,1,13,13,170 GATES AVENUE,NY,11238,Beatrice Thompson,718-789-5835,718-789-5814,"06,07,08,SE",BROOKLYN,"170 GATES AVENUE, NY, 11238","170 Gates Ave, Brooklyn, NY 11238, USA",40.6842985,-73.9603205
20K104      ,K,2,K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,K-8,1,20,20,9115 5 AVENUE,NY,11209,Ms. Marie DiBella,718-836-4630,718-836-9412,"0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"9115 5 AVENUE, NY, 11209","9115 5th Ave, Brooklyn, NY 11209, USA",40.6181011,-74.0286826
20K105      ,K,2,K105,P.S. 105 THE BLYTHEBOURNE,Elementary,1,20,20,1031 59 STREET,NY,11219,JOHANNA CASTRONOVO,718-438-3230,718-853-9633,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1031 59 STREET, NY, 11219","1031 59th St, Brooklyn, NY 11219, USA",40.6331135,-74.0036168
32K106      ,K,2,K106,P.S. 106 EDWARD EVERETT HALE,Elementary,1,32,32,1328 PUTNAM AVENUE,NY,11221,ROBERT FLORES,718-574-0261,718-574-1054,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1328 PUTNAM AVENUE, NY, 11221","1328 Putnam Ave, Brooklyn, NY 11221, USA",40.69370809999999,-73.9125749
15K107      ,K,2,K107,P.S. 107 JOHN W. KIMBALL,Elementary,1,15,15,1301 8 AVENUE,NY,11215,CYNTHIA HOLTON,718-499-2054,718-965-6479,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1301 8 AVENUE, NY, 11215","1301 8th Ave, Brooklyn, NY 11215, USA",40.6630214,-73.9811205
19K108      ,K,2,K108,P.S. 108 SAL ABBRACCIAMENTO,Elementary,1,19,19,200 LINWOOD STREET,NY,11208,CONSTANCE HAHN,718-277-7010,718-827-4137,"0K,01,02,03,04,05,SE",BROOKLYN,"200 LINWOOD STREET, NY, 11208","200 Linwood St, Brooklyn, NY 11208, USA",40.6812345,-73.8843103
22K109      ,K,2,K109,P.S. 109,K-8,1,22,22,1001 EAST  45 STREET,NY,11203,Joan Thomas,718-693-3426,718-693-3072,"0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"1001 EAST  45 STREET, NY, 11203","1001 E 45th St, Brooklyn, NY 11203, USA",40.636395,-73.9333185
14K110      ,K,2,K110,P.S. 110 THE MONITOR,Elementary,1,14,14,124 MONITOR STREET,NY,11222,ANNA CANO AMATO,718-383-7600,718-383-5053,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"124 MONITOR STREET, NY, 11222","124 Monitor St, Brooklyn, NY 11222, USA",40.7237601,-73.9419954
20K112      ,K,2,K112,P.S. 112 LEFFERTS PARK,Elementary,1,20,20,7115 15 AVENUE,NY,11228,Louise Verdemare (Alfano),718-232-0685,718-232-3609,"0K,01,02,03,04,05,SE",BROOKLYN,"7115 15 AVENUE, NY, 11228","7115 15th Ave, Brooklyn, NY 11228, USA",40.6193778,-74.0005869
13K113      ,K,2,K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,Junior High-Intermediate-Middle,1,13,13,300 ADELPHI STREET,NY,11205,Dawnique Daughtry,718-834-6734,718-596-2802,"06,07,08,SE",BROOKLYN,"300 ADELPHI STREET, NY, 11205","300 Adelphi St, Brooklyn, NY 11205, USA",40.6888586,-73.971716
18K114      ,K,2,K114,P.S. 114 RYDER ELEMENTARY,Elementary,1,18,18,1077 REMSEN AVENUE,NY,11236,Darwin Smith,718-257-4428,718-649-5216,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1077 REMSEN AVENUE, NY, 11236","1077 Remsen Ave, Brooklyn, NY 11236, USA",40.6426492,-73.908012
18K115      ,K,2,K115,P.S. 115 DANIEL MUCATEL SCHOOL,Elementary,1,18,18,1500 EAST  92 STREET,NY,11236,Denis Guerin,718-241-1000,718-209-1714,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1500 EAST  92 STREET, NY, 11236","1500 E 92nd St, Brooklyn, NY 11236, USA",40.6349577,-73.897999
32K116      ,K,2,K116,P.S. 116 ELIZABETH L FARRELL,Elementary,1,32,32,515 KNICKERBOCKER AVENUE,NY,11237,SEIW KONG,718-821-4623,718-821-0363,"0K,01,02,03,04,05,SE",BROOKLYN,"515 KNICKERBOCKER AVENUE, NY, 11237","515 Knickerbocker Ave, Brooklyn, NY 11237, USA",40.6980413,-73.9165551
22K119      ,K,2,K119,P.S. 119 AMERSFORT,Elementary,1,22,22,3829 AVENUE K,NY,11210,LISA FERNANDEZ,718-377-7696,718-338-0694,"0K,01,02,03,04,05,SE",BROOKLYN,"3829 AVENUE K, NY, 11210","3829 Avenue K, Brooklyn, NY 11210, USA",40.6260567,-73.9388469
14K120      ,K,2,K120,P.S. 120 CARLOS TAPIA,Elementary,1,14,14,18 BEAVER STREET,NY,11206,Liza Caraballo,718-455-1000,718-574-6637,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"18 BEAVER STREET, NY, 11206","18 Beaver St, Brooklyn, NY 11206, USA",40.7007468,-73.9376826
21K121      ,K,2,K121,P.S. 121 NELSON A. ROCKEFELLER,K-8,1,21,21,5301 20 AVENUE,NY,11204,LILLIAN CATALANO,718-377-8845,718-252-4075,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"5301 20 AVENUE, NY, 11204","5301 20th Ave, Brooklyn, NY 11204, USA",40.6228681,-73.97882480000001
32K123      ,K,2,K123,P.S. 123 SUYDAM,Elementary,1,32,32,100 IRVING AVENUE,NY,11237,VERONICA GREENE,718-821-4810,718-821-0858,"0K,01,02,03,04,05,SE",BROOKLYN,"100 IRVING AVENUE, NY, 11237","100 Irving Ave, Brooklyn, NY 11237, USA",40.7039048,-73.9225744
15K124      ,K,2,K124,P.S. 124 SILAS B. DUTCHER,Elementary,1,15,15,515 4 AVENUE,NY,11215,Annabelle Martinez,718-788-0246,718-965-9558,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"515 4 AVENUE, NY, 11215","515 4th Ave, Brooklyn, NY 11215, USA",40.66748750000001,-73.9906623
14K126      ,K,2,K126,JOHN ERICSSON MIDDLE SCHOOL 126,Junior High-Intermediate-Middle,1,14,14,424 LEONARD STREET,NY,11222,ROSEMARY OCHOA,718-782-2527,718-302-2319,"06,07,08,SE",BROOKLYN,"424 LEONARD STREET, NY, 11222","424 Leonard St, Brooklyn, NY 11222, USA",40.7197652,-73.9478321
20K127      ,K,2,K127,P.S. 127 MCKINLEY PARK,Elementary,1,20,20,7805 7 AVENUE,NY,11228,Agatha Alicandro,718-833-2323,718-836-9427,"0K,01,02,03,04,05,SE",BROOKLYN,"7805 7 AVENUE, NY, 11228","7805 7th Ave, Brooklyn, NY 11228, USA",40.6237903,-74.018579
21K128      ,K,2,K128,P.S. 128 BENSONHURST,Elementary,1,21,21,2075 84 STREET,NY,11214,MARCIA ROBINS,718-373-5900,718-266-6254,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"2075 84 STREET, NY, 11214","2075 84th St, Brooklyn, NY 11214, USA",40.604933,-73.99503179999999
15K130      ,K,2,K130,P.S. 130 THE PARKSIDE,Elementary,1,15,15,70 OCEAN PARKWAY,NY,11218,MARIA NUNZIATA,718-686-1940,718-854-9756,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"70 OCEAN PARKWAY, NY, 11218","70 Ocean Pkwy, Brooklyn, NY 11218, USA",40.6489096,-73.9762077
15K131      ,K,2,K131,P.S. 131 BROOKLYN,Elementary,1,15,15,4305 FT HAMILTON PARKWAY,NY,11219,RUTH QUILES,718-686-1457,718-853-5952,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"4305 FT HAMILTON PARKWAY, NY, 11219","4305 Fort Hamilton Pkwy, Brooklyn, NY 11219, USA",40.640783,-73.9933331
14K132      ,K,2,K132,P.S. 132 THE CONSELYEA SCHOOL,Elementary,1,14,14,320 MANHATTAN AVENUE,NY,11211,BETH LUBECK,718-599-7301,718-599-7417,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"320 MANHATTAN AVENUE, NY, 11211","320 Manhattan Ave, Brooklyn, NY 11211, USA",40.7148161,-73.94582989999999
22K134      ,K,2,K134,P.S. K134,Elementary,1,22,22,4001 18 AVENUE,NY,11218,DEBRA RAMSARAN,718-436-7200,718-854-4115,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"4001 18 AVENUE, NY, 11218","4001 18th Ave, Brooklyn, NY 11218, USA",40.6322839,-73.97322319999999
18K135      ,K,2,K135,P.S. 135 SHELDON A. BROOKNER,Elementary,1,18,18,684 LINDEN BOULEVARD,NY,11203,Trevlyn Mcrae,718-693-4363,718-941-0847,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"684 LINDEN BOULEVARD, NY, 11203","684 Linden Blvd, Brooklyn, NY 11203, USA",40.6531986,-73.9329511
15K136      ,K,2,K136,I.S. 136 CHARLES O. DEWEY,Junior High-Intermediate-Middle,1,15,15,4004 4 AVENUE,NY,11232,ERIC SACKLER,718-965-3333,718-965-9567,"06,07,08,SE",BROOKLYN,"4004 4 AVENUE, NY, 11232","4004 4th Ave, Brooklyn, NY 11232, USA",40.6519928,-74.0072938
23K137      ,K,2,K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,K-8,1,23,23,121 SARATOGA AVENUE,NY,11233,Winston Riley,718-453-2926,718-453-5363,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"121 SARATOGA AVENUE, NY, 11233","121 Saratoga Ave, Brooklyn, NY 11233, USA",40.6822299,-73.9167389
17K138      ,K,2,K138,P.S. 138 BROOKLYN,K-8,1,17,17,760 PROSPECT PLACE,NY,11216,Ms. Marie Chauvet-Monchik,718-467-0800,718-953-3422,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"760 PROSPECT PLACE, NY, 11216","760 Prospect Pl, Brooklyn, NY 11216, USA",40.6737453,-73.9513202
