DBN,schoolName,type,totalGC&SW,totalGC,totalSW,fulltime_GC,fulltime_SW,parttime_GC,parttime_SW,bilingual_GC,bilingual_SW,GC_ServeLocMoreThanOne,SW_ServeLocMoreThanOne,SY19-20Enrollment,enrollmentRatioTotal,enrollmentratio_GC,enrollmentratio_SW,ATS_CODE,BORO,BORONUM,LOC_CODE,SCHOOLNAME,SCH_TYPE,MANAGED_BY,GEO_DISTRI,ADMIN_DIST,ADDRESS,STATE_CODE,ZIP,PRINCIPAL,PRIN_PH,FAX,GRADES,City,fullAddress,gcode,latitude,longitude
01M034,P.S. 034 Franklin D. Roosevelt,K-8,2.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,296,148,148,296,01M034,M,1.0,M034,P.S. 034 FRANKLIN D. ROOSEVELT,K-8,1.0,1.0,1.0,730 EAST  12 STREET,NY,10009,JOYCE STALLINGS HARTE,212-228-4433,212-353-1973,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,"730 EAST  12 STREET, NY, 10009","730 E 12th St, New York, NY 10009, USA",40.7261446,-73.9750657
01M140,P.S. 140 Nathan Straus,K-8,1.4,1.4,0.0,1,0,0.4,0.0,0.0,0,0.4,0.0,372,266,266,372,01M140,M,1.0,M140,P.S. 140 NATHAN STRAUS,K-8,1.0,1.0,1.0,123 RIDGE STREET,NY,10002,ESTEBAN BARRIENTOS,212-677-4680,212-677-3907,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,"123 RIDGE STREET, NY, 10002","123 Ridge St, New York, NY 10002, USA",40.7191282,-73.9832826
01M184,P.S. 184m Shuang Wen,K-8,2.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,707,354,354,707,01M184,M,1.0,M184,P.S. 184M SHUANG WEN,K-8,1.0,1.0,1.0,327 CHERRY STREET,NY,10002,LING LING CHOU,212-602-9700,212-602-9710,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,"327 CHERRY STREET, NY, 10002","327 Cherry St, New York, NY 10002, USA",40.7114447,-73.98548939999999
01M292,Orchard Collegiate Academy,HIGH SCHOOL,In progress (interviewing),0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,226,see note in column D,see note in column D,see note in column D,01M292,M,1.0,M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,Secondary School,1.0,1.0,1.0,220 HENRY STREET,NY,10002,Erin Balet,212-406-9411,212-406-9417,"06,07,08,09,10,11,12,SE",MANHATTAN,"220 HENRY STREET, NY, 10002","220 Henry St, New York, NY 10002, USA",40.7134455,-73.9860332
01M315,The East Village Community School,ELEMENTARY,1.4,1.0,0.4,1,0,0.0,0.4,0.0,0,0.0,0.4,330,236,330,330,01M315,M,1.0,M315,THE EAST VILLAGE COMMUNITY SCHOOL,Elementary,1.0,1.0,1.0,610 EAST  12 STREET,NY,10009,ROBIN WILLIAMS,212-982-0682,212-260-4012,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"610 EAST  12 STREET, NY, 10009","610 E 12th St, New York, NY 10009, USA",40.7277257,-73.9783818
01M364,Earth School,ELEMENTARY,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,344,344,344,344,01M364,M,1.0,M364,EARTH SCHOOL,Elementary,1.0,1.0,1.0,600 EAST  6 STREET,NY,10009,ALISON GAIL HAZUT,212-477-1735,212-477-2396,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"600 EAST  6 STREET, NY, 10009","600 E 6th St, New York, NY 10009, USA",40.7238456,-73.9817633
01M378,School for Global Leaders,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.2,1.0,0.2,1,0,0.0,0.2,0.0,0,0.0,0.2,204,170,204,204,01M378,M,1.0,M378,SCHOOL FOR GLOBAL LEADERS,Junior High-Intermediate-Middle,1.0,1.0,1.0,145 STANTON STREET,NY,10002,CARRY CHAN,212-260-5375,212-260-7386,"06,07,08,SE",MANHATTAN,"145 STANTON STREET, NY, 10002","145 Stanton St, New York, NY 10002, USA",40.720088,-73.9860332
01M448,University Neighborhood High School,HIGH SCHOOL,3.0,3.0,0.0,3,0,0.0,0.0,0.0,0,0.0,0.0,492,164,164,492,01M448,M,1.0,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,High school,1.0,1.0,1.0,200 MONROE STREET,NY,10002,Elizabeth Collins,212-962-4341,212-267-5611,"09,10,11,12,SE",MANHATTAN,"200 MONROE STREET, NY, 10002","200 Monroe St, New York, NY 10002, USA",40.7123543,-73.9840589
01M515,Lower East Side Preparatory High School,HIGH SCHOOL,3.0,3.0,0.0,3,0,0.0,0.0,1.0,0,0.0,0.0,531,177,177,531,01M515,M,1.0,M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,High school,1.0,1.0,1.0,145 STANTON STREET,NY,10002,MARTHA POLIN,212-505-6366,212-260-0813,"10,11,12",MANHATTAN,"145 STANTON STREET, NY, 10002","145 Stanton St, New York, NY 10002, USA",40.720088,-73.9860332
01M539,"New Explorations into Science, Technology and Math",K-12 ALL GRADES,7.0,7.0,0.0,7,0,0.0,0.0,0.0,0,0.0,0.0,1806,258,258,1806,01M539,M,1.0,M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",K-12 all grades,1.0,1.0,1.0,111 COLUMBIA STREET,NY,10002,Dr. Olga Livanis,212-677-5190,212-260-8124,"0K,01,02,03,04,05,06,07,08,09,10,11,12",MANHATTAN,"111 COLUMBIA STREET, NY, 10002","111 Columbia St, New York, NY 10002, USA",40.7197829,-73.9792454
01M696,Bard High School Early College,HIGH SCHOOL,4.0,4.0,0.0,4,0,0.0,0.0,0.0,0,0.0,0.0,613,153,153,613,01M696,M,1.0,M696,BARD HIGH SCHOOL EARLY COLLEGE,High school,1.0,1.0,1.0,525 EAST HOUSTON STREET,NY,10002,Michael Lerner,212-995-8479,212-777-4702,"09,10,11,12",MANHATTAN,"525 EAST HOUSTON STREET, NY, 10002","525 E Houston St, New York, NY 10002, USA",40.7180919,-73.97607459999999
01M839,Tompkins Square Middle School,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.2,1.0,0.2,1,0,0.0,0.2,0.0,0,0.0,0.2,358,298,358,358,01M839,M,1.0,M839,TOMPKINS SQUARE MIDDLE SCHOOL,Junior High-Intermediate-Middle,1.0,1.0,1.0,600 EAST  6 STREET,NY,10009,SONHANDO ESTWICK,212-995-1430,212-979-1341,"06,07,08,SE",MANHATTAN,"600 EAST  6 STREET, NY, 10009","600 E 6th St, New York, NY 10009, USA",40.7238456,-73.9817633
02M002,P.S. 002 Meyer London,ELEMENTARY,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,449,449,449,449,02M002,M,1.0,M002,P.S. 002 MEYER LONDON,Elementary,1.0,2.0,2.0,122 HENRY STREET,NY,10002,BRETT GUSTAFSON,212-964-0350,212-608-4080,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"122 HENRY STREET, NY, 10002","122 Henry St, New York, NY 10002, USA",40.713057,-73.9916866
02M114,East Side Middle School,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,457,457,457,457,02M114,M,1.0,M114,EAST SIDE MIDDLE SCHOOL,Junior High-Intermediate-Middle,1.0,2.0,2.0,331 EAST 91ST STREET,NY,10128,DAVID GETZ,212-360-0114,212-360-0121,"06,07,08,SE",NEW YORK,"331 EAST 91ST STREET, NY, 10128","331 E 91st St, New York, NY 10128, USA",40.7804173,-73.9475088
02M150,P.S. 150,ELEMENTARY,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,190,190,190,190,02M150,M,1.0,M150,P.S. 150,Elementary,1.0,2.0,2.0,334 GREENWICH STREET,NY,10013,Maggie Siena,212-732-4392,212-766-5895,"PK,0K,01,02,03,04,05",MANHATTAN,"334 GREENWICH STREET, NY, 10013","334 Greenwich St, New York, NY 10013, USA",40.7180827,-74.010942
02M212,P.S. 212 Midtown West,ELEMENTARY,0.4,0.4,0.0,0,0,0.4,0.0,0.0,0,0.4,0.0,370,370,370,370,02M212,M,1.0,M212,P.S. 212 MIDTOWN WEST,Elementary,1.0,2.0,2.0,328 WEST  48 STREET,NY,10036,DEAN KETCHUM,212-247-0208,212-757-4933,"0K,01,02,03,04,05,SE",MANHATTAN,"328 WEST  48 STREET, NY, 10036","328 W 48th St, New York, NY 10036, USA",40.761226,-73.9886092
