DBN,School Name,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,2019-20,190,14,29,28,38,33,29,19,0,0,0,0,0,0,0,94,0.495,96,0.505,27,0.142,56,0.295,96,0.505,2,0.011,9,0.047,44,0.232,17,0.089,155,81.60%,86.90%
01M019,P.S. 019 Asher Levy,2019-20,236,16,25,27,39,45,42,42,0,0,0,0,0,0,0,110,0.466,126,0.534,11,0.047,49,0.208,148,0.627,9,0.038,19,0.081,94,0.398,8,0.034,176,74.60%,70.00%
01M020,P.S. 020 Anna Silver,2019-20,464,41,63,61,71,76,65,87,0,0,0,0,0,0,0,233,0.502,231,0.498,120,0.259,58,0.125,239,0.515,16,0.034,31,0.067,102,0.22,61,0.131,352,75.90%,78.20%
01M034,P.S. 034 Franklin D. Roosevelt,2019-20,296,17,24,26,16,18,21,43,43,40,48,0,0,0,0,141,0.476,155,0.524,7,0.024,107,0.361,172,0.581,2,0.007,8,0.027,114,0.385,17,0.057,Above 95%,Above 95%,Above 95%
01M063,The STAR Academy - P.S.63,2019-20,229,26,40,34,38,30,32,29,0,0,0,0,0,0,0,104,0.454,125,0.546,9,0.039,39,0.17,157,0.686,7,0.031,17,0.074,69,0.301,5,0.022,177,77.30%,78.20%
01M064,P.S. 064 Robert Simon,2019-20,236,34,23,44,30,41,31,33,0,0,0,0,0,0,0,107,0.453,129,0.547,7,0.03,40,0.169,174,0.737,5,0.021,10,0.042,63,0.267,4,0.017,214,90.70%,91.10%
01M110,P.S. 110 Florence Nightingale,2019-20,396,35,68,63,74,52,54,50,0,0,0,0,0,0,0,173,0.437,223,0.563,64,0.162,38,0.096,180,0.455,13,0.033,101,0.255,47,0.119,10,0.025,240,60.60%,62.10%
01M134,P.S. 134 Henrietta Szold,2019-20,245,10,28,43,34,35,45,50,0,0,0,0,0,0,0,116,0.473,129,0.527,23,0.094,65,0.265,146,0.596,5,0.02,6,0.024,103,0.42,18,0.073,232,94.70%,94.50%
01M140,P.S. 140 Nathan Straus,2019-20,372,8,26,27,31,27,30,30,67,61,65,0,0,0,0,175,0.47,197,0.53,11,0.03,60,0.161,293,0.788,1,0.003,7,0.019,146,0.392,27,0.073,330,88.70%,92.90%
01M142,P.S. 142 Amalia Castro,2019-20,329,51,56,43,48,44,45,42,0,0,0,0,0,0,0,147,0.447,182,0.553,4,0.012,54,0.164,253,0.769,10,0.03,8,0.024,109,0.331,22,0.067,Above 95%,Above 95%,89.60%
01M184,P.S. 184m Shuang Wen,2019-20,707,36,76,58,63,62,51,62,101,107,91,0,0,0,0,355,0.502,352,0.498,498,0.704,24,0.034,84,0.119,49,0.069,52,0.074,117,0.165,99,0.14,469,66.30%,67.20%
01M188,P.S. 188 The Island School,2019-20,398,13,29,24,50,33,50,39,55,48,57,0,0,0,0,181,0.455,217,0.545,11,0.028,125,0.314,250,0.628,3,0.008,9,0.023,135,0.339,39,0.098,Above 95%,Above 95%,Above 95%
01M292,Orchard Collegiate Academy,2019-20,226,0,0,0,0,0,0,0,0,0,0,65,64,65,32,101,0.447,125,0.553,27,0.119,58,0.257,127,0.562,8,0.035,6,0.027,65,0.288,21,0.093,188,83.20%,87.60%
01M315,The East Village Community School,2019-20,330,36,50,47,45,52,46,54,0,0,0,0,0,0,0,164,0.497,166,0.503,32,0.097,15,0.045,76,0.23,19,0.058,188,0.57,57,0.173,3,0.009,93,28.20%,36.00%
01M332,University Neighborhood Middle School,2019-20,218,0,0,0,0,0,0,0,71,72,75,0,0,0,0,82,0.376,136,0.624,16,0.073,43,0.197,137,0.628,2,0.009,20,0.092,90,0.413,11,0.05,181,83.00%,81.30%
01M361,The Children's Workshop School,2019-20,336,38,64,47,45,52,45,45,0,0,0,0,0,0,0,156,0.464,180,0.536,33,0.098,35,0.104,130,0.387,22,0.065,116,0.345,83,0.247,13,0.039,158,47.00%,53.40%
01M363,Neighborhood School,2019-20,306,36,50,41,55,42,43,39,0,0,0,0,0,0,0,154,0.503,152,0.497,21,0.069,31,0.101,106,0.346,26,0.085,122,0.399,67,0.219,4,0.013,125,40.80%,45.40%
01M364,Earth School,2019-20,344,31,61,54,51,49,45,53,0,0,0,0,0,0,0,147,0.427,197,0.573,18,0.052,40,0.116,136,0.395,31,0.09,119,0.346,96,0.279,12,0.035,196,57.00%,56.60%
